"schema.date","schema.endDate","duration","type","schema.Place","comment","source","date.common"
1910-07-02,"",NA,"food riot","Damascus","","",2000-07-01
1910-08-11,"",NA,"food riot","Hama","","",2000-08-10
1910-08-13,"",NA,"food riot","Homs","","",2000-08-12
1913-01-17,"",NA,"food riot","Jerusalem","","",2000-01-17
1913-01-18,"",NA,"food riot","Jerusalem","","",2000-01-18
1913-02-17,"",NA,"food riot","Damascus","","",2000-02-17
1914-11-13,"",NA,"food riot","Beirut","protest of some poor people at the public ovens","70E75762-0802-4DCD-829A-AC254D2A8E2E {SchulzeTanielian 2014@737} ",2000-11-12
1914-11-21,"",NA,"food riot","Beirut","large crowds gathering at flour stores","12EC3DA9-FAA4-4328-828F-F767DAC61A1B ",2000-11-20
1915-12-27,"",NA,"food riot","Jerusalem","crowds of men, women, and children gathering at the square at Bāb al-ʿUmūd, fighting each other to buy wheat","{Tamārī 2008a@286}{Tamari 2011@142}",2000-12-26
1916-02-29,"",NA,"food riot","Damascus","","",2000-02-29
